label,value,time
ces-main,84058.04,2025-08-18T14:44:30+00:00
ces-main,130629.73,2025-08-18T14:45:00+00:00
ces-main,163304.10,2025-08-18T14:45:30+00:00
ces-main,166224.05,2025-08-18T14:46:00+00:00
ces-main,987118.88,2025-08-18T14:46:30+00:00
ces-main,1028349.81,2025-08-18T14:47:00+00:00
ces-main,1037276.19,2025-08-18T14:47:30+00:00
ces-main,153007.90,2025-08-18T14:48:00+00:00
ces-main,148634.04,2025-08-18T14:48:30+00:00
ces-main,151391.01,2025-08-18T14:49:00+00:00
ces-main,146913.46,2025-08-18T14:49:30+00:00
ces-main,150104.52,2025-08-18T14:50:00+00:00
ces-main,151133.89,2025-08-18T14:50:30+00:00
ces-main,155582.70,2025-08-18T14:51:00+00:00
ces-main,244021.86,2025-08-18T14:51:30+00:00
ces-main,908201.10,2025-08-18T14:52:00+00:00
ces-main,965066.31,2025-08-18T14:52:30+00:00
ces-worker-0,10538.44,2025-08-18T14:44:00+00:00
ces-worker-0,62375.88,2025-08-18T14:44:30+00:00
ces-worker-0,135638.78,2025-08-18T14:45:00+00:00
ces-worker-0,146139.35,2025-08-18T14:45:30+00:00
ces-worker-0,121783.54,2025-08-18T14:46:00+00:00
ces-worker-0,147226.62,2025-08-18T14:46:30+00:00
ces-worker-0,149937.91,2025-08-18T14:47:00+00:00
ces-worker-0,125416.10,2025-08-18T14:47:30+00:00
ces-worker-0,96794.39,2025-08-18T14:48:00+00:00
ces-worker-0,101741.30,2025-08-18T14:48:30+00:00
ces-worker-0,104211.63,2025-08-18T14:49:00+00:00
ces-worker-0,106053.98,2025-08-18T14:49:30+00:00
ces-worker-0,100640.06,2025-08-18T14:50:00+00:00
ces-worker-0,93467.79,2025-08-18T14:50:30+00:00
ces-worker-0,95165.85,2025-08-18T14:51:00+00:00
ces-worker-0,137654.16,2025-08-18T14:51:30+00:00
ces-worker-0,221914.87,2025-08-18T14:52:00+00:00
ces-worker-0,232735.00,2025-08-18T14:52:30+00:00
