label,value,time
ces-main,6715.36,2025-09-15T06:24:30+00:00
ces-main,8957128.27,2025-09-15T06:25:00+00:00
ces-main,5758142.47,2025-09-15T06:25:30+00:00
ces-main,5987116.32,2025-09-15T06:26:00+00:00
ces-main,1018955.14,2025-09-15T06:26:30+00:00
ces-main,404572.27,2025-09-15T06:27:00+00:00
ces-main,405917.61,2025-09-15T06:27:30+00:00
ces-main,433685.91,2025-09-15T06:28:00+00:00
ces-main,405145.94,2025-09-15T06:28:30+00:00
ces-main,339521.07,2025-09-15T06:29:00+00:00
ces-main,314007.94,2025-09-15T06:29:30+00:00
ces-main,361239.23,2025-09-15T06:30:00+00:00
ces-main,310904.59,2025-09-15T06:30:30+00:00
ces-main,343145.26,2025-09-15T06:31:00+00:00
ces-main,332614.02,2025-09-15T06:31:30+00:00
ces-main,342358.54,2025-09-15T06:32:00+00:00
ces-main,324471.93,2025-09-15T06:32:30+00:00
ces-main,323492.16,2025-09-15T06:33:00+00:00
ces-main,322881.44,2025-09-15T06:33:30+00:00
ces-main,367218.39,2025-09-15T06:34:00+00:00
ces-main,366378.89,2025-09-15T06:34:30+00:00
ces-main,369709.76,2025-09-15T06:35:00+00:00
ces-main,301221.50,2025-09-15T06:35:30+00:00
ces-main,311541.27,2025-09-15T06:36:00+00:00
ces-main,297167.35,2025-09-15T06:36:30+00:00
ces-main,307442.54,2025-09-15T06:37:00+00:00
ces-main,292023.52,2025-09-15T06:37:30+00:00
ces-main,306197.01,2025-09-15T06:38:00+00:00
ces-main,306749.19,2025-09-15T06:38:30+00:00
ces-main,327774.95,2025-09-15T06:39:00+00:00
ces-main,316469.10,2025-09-15T06:39:30+00:00
ces-main,337707.96,2025-09-15T06:40:00+00:00
ces-main,279433.72,2025-09-15T06:40:30+00:00
ces-main,298646.45,2025-09-15T06:41:00+00:00
ces-main,282279.92,2025-09-15T06:41:30+00:00
ces-main,322775.55,2025-09-15T06:42:00+00:00
ces-main,291680.13,2025-09-15T06:42:30+00:00
ces-main,312891.89,2025-09-15T06:43:00+00:00
ces-main,314117.85,2025-09-15T06:43:30+00:00
ces-main,321333.00,2025-09-15T06:44:00+00:00
ces-main,308972.57,2025-09-15T06:44:30+00:00
ces-main,330857.86,2025-09-15T06:45:00+00:00
ces-main,302870.23,2025-09-15T06:45:30+00:00
ces-main,333408.35,2025-09-15T06:46:00+00:00
ces-main,318741.07,2025-09-15T06:46:30+00:00
ces-main,345779.27,2025-09-15T06:47:00+00:00
ces-main,294015.24,2025-09-15T06:47:30+00:00
ces-main,302754.27,2025-09-15T06:48:00+00:00
ces-main,308493.10,2025-09-15T06:48:30+00:00
ces-main,329237.88,2025-09-15T06:49:00+00:00
ces-main,322382.23,2025-09-15T06:49:30+00:00
ces-main,320901.02,2025-09-15T06:50:00+00:00
ces-main,291482.87,2025-09-15T06:50:30+00:00
ces-main,303698.79,2025-09-15T06:51:00+00:00
ces-main,289152.98,2025-09-15T06:51:30+00:00
ces-main,304317.58,2025-09-15T06:52:00+00:00
ces-main,280201.46,2025-09-15T06:52:30+00:00
ces-main,299835.72,2025-09-15T06:53:00+00:00
ces-main,323138.39,2025-09-15T06:53:30+00:00
ces-main,321535.54,2025-09-15T06:54:00+00:00
ces-main,317253.08,2025-09-15T06:54:30+00:00
ces-main,326323.25,2025-09-15T06:55:00+00:00
ces-main,326556.97,2025-09-15T06:55:30+00:00
ces-main,349088.14,2025-09-15T06:56:00+00:00
ces-main,329615.53,2025-09-15T06:56:30+00:00
ces-main,347637.89,2025-09-15T06:57:00+00:00
ces-main,300748.45,2025-09-15T06:57:30+00:00
ces-main,325524.93,2025-09-15T06:58:00+00:00
ces-main,278692.73,2025-09-15T06:58:30+00:00
ces-main,307139.26,2025-09-15T06:59:00+00:00
ces-main,301492.23,2025-09-15T06:59:30+00:00
ces-main,312414.18,2025-09-15T07:00:00+00:00
ces-main,292704.09,2025-09-15T07:00:30+00:00
ces-main,306426.53,2025-09-15T07:01:00+00:00
ces-main,282534.10,2025-09-15T07:01:30+00:00
ces-main,306719.37,2025-09-15T07:02:00+00:00
ces-main,301971.44,2025-09-15T07:02:30+00:00
ces-main,297574.95,2025-09-15T07:03:00+00:00
ces-main,293423.95,2025-09-15T07:03:30+00:00
ces-main,351927.68,2025-09-15T07:04:00+00:00
ces-main,352605.52,2025-09-15T07:04:30+00:00
ces-main,348138.23,2025-09-15T07:05:00+00:00
ces-main,302285.97,2025-09-15T07:05:30+00:00
ces-main,305623.27,2025-09-15T07:06:00+00:00
ces-main,288659.31,2025-09-15T07:06:30+00:00
ces-main,300396.95,2025-09-15T07:07:00+00:00
ces-main,280452.12,2025-09-15T07:07:30+00:00
ces-main,296373.28,2025-09-15T07:08:00+00:00
ces-main,309785.12,2025-09-15T07:08:30+00:00
ces-main,337861.99,2025-09-15T07:09:00+00:00
ces-main,335329.16,2025-09-15T07:09:30+00:00
ces-main,344922.65,2025-09-15T07:10:00+00:00
ces-main,297465.00,2025-09-15T07:10:30+00:00
ces-main,321198.45,2025-09-15T07:11:00+00:00
ces-main,299745.42,2025-09-15T07:11:30+00:00
ces-main,317553.22,2025-09-15T07:12:00+00:00
ces-main,284846.63,2025-09-15T07:12:30+00:00
ces-main,300094.23,2025-09-15T07:13:00+00:00
ces-main,302746.52,2025-09-15T07:13:30+00:00
