label,value,time
ces-main,1346.08,2025-09-15T06:24:30+00:00
ces-main,14048629.03,2025-09-15T06:25:00+00:00
ces-main,9886031.34,2025-09-15T06:25:30+00:00
ces-main,10177191.33,2025-09-15T06:26:00+00:00
ces-main,2515418.51,2025-09-15T06:26:30+00:00
ces-main,203448.90,2025-09-15T06:27:00+00:00
ces-main,259741.52,2025-09-15T06:27:30+00:00
ces-main,266897.89,2025-09-15T06:28:00+00:00
ces-main,238305.44,2025-09-15T06:28:30+00:00
ces-main,213541.65,2025-09-15T06:29:00+00:00
ces-main,200062.60,2025-09-15T06:29:30+00:00
ces-main,242121.68,2025-09-15T06:30:00+00:00
ces-main,216088.80,2025-09-15T06:30:30+00:00
ces-main,209391.91,2025-09-15T06:31:00+00:00
ces-main,183992.89,2025-09-15T06:31:30+00:00
ces-main,174484.90,2025-09-15T06:32:00+00:00
ces-main,176426.26,2025-09-15T06:32:30+00:00
ces-main,166553.85,2025-09-15T06:33:00+00:00
ces-main,166612.17,2025-09-15T06:33:30+00:00
ces-main,160302.91,2025-09-15T06:34:00+00:00
ces-main,174043.87,2025-09-15T06:34:30+00:00
ces-main,182695.57,2025-09-15T06:35:00+00:00
ces-main,179389.12,2025-09-15T06:35:30+00:00
ces-main,178110.85,2025-09-15T06:36:00+00:00
ces-main,184725.97,2025-09-15T06:36:30+00:00
ces-main,154747.52,2025-09-15T06:37:00+00:00
ces-main,164079.85,2025-09-15T06:37:30+00:00
ces-main,158877.48,2025-09-15T06:38:00+00:00
ces-main,169357.34,2025-09-15T06:38:30+00:00
ces-main,169091.47,2025-09-15T06:39:00+00:00
ces-main,172578.45,2025-09-15T06:39:30+00:00
ces-main,161145.17,2025-09-15T06:40:00+00:00
ces-main,148413.39,2025-09-15T06:40:30+00:00
ces-main,244756.00,2025-09-15T06:41:00+00:00
ces-main,246800.93,2025-09-15T06:41:30+00:00
ces-main,269825.02,2025-09-15T06:42:00+00:00
ces-main,190746.75,2025-09-15T06:42:30+00:00
ces-main,180751.39,2025-09-15T06:43:00+00:00
ces-main,181167.50,2025-09-15T06:43:30+00:00
ces-main,166587.78,2025-09-15T06:44:00+00:00
ces-main,183484.96,2025-09-15T06:44:30+00:00
ces-main,163288.10,2025-09-15T06:45:00+00:00
ces-main,161983.21,2025-09-15T06:45:30+00:00
ces-main,220533.85,2025-09-15T06:46:00+00:00
ces-main,223169.19,2025-09-15T06:46:30+00:00
ces-main,224275.86,2025-09-15T06:47:00+00:00
ces-main,169751.41,2025-09-15T06:47:30+00:00
ces-main,147493.35,2025-09-15T06:48:00+00:00
ces-main,167691.83,2025-09-15T06:48:30+00:00
ces-main,176487.19,2025-09-15T06:49:00+00:00
ces-main,169337.51,2025-09-15T06:49:30+00:00
ces-main,160666.63,2025-09-15T06:50:00+00:00
ces-main,159134.96,2025-09-15T06:50:30+00:00
ces-main,167621.73,2025-09-15T06:51:00+00:00
ces-main,176898.66,2025-09-15T06:51:30+00:00
ces-main,171092.47,2025-09-15T06:52:00+00:00
ces-main,163234.29,2025-09-15T06:52:30+00:00
ces-main,159888.79,2025-09-15T06:53:00+00:00
ces-main,162924.41,2025-09-15T06:53:30+00:00
ces-main,159186.15,2025-09-15T06:54:00+00:00
ces-main,168062.26,2025-09-15T06:54:30+00:00
ces-main,160906.32,2025-09-15T06:55:00+00:00
ces-main,163463.71,2025-09-15T06:55:30+00:00
ces-main,176802.65,2025-09-15T06:56:00+00:00
ces-main,174785.91,2025-09-15T06:56:30+00:00
ces-main,160698.26,2025-09-15T06:57:00+00:00
ces-main,158211.51,2025-09-15T06:57:30+00:00
ces-main,167287.09,2025-09-15T06:58:00+00:00
ces-main,159900.51,2025-09-15T06:58:30+00:00
ces-main,163668.49,2025-09-15T06:59:00+00:00
ces-main,170980.76,2025-09-15T06:59:30+00:00
ces-main,157482.32,2025-09-15T07:00:00+00:00
ces-main,163762.07,2025-09-15T07:00:30+00:00
ces-main,159017.24,2025-09-15T07:01:00+00:00
ces-main,160433.60,2025-09-15T07:01:30+00:00
ces-main,154652.96,2025-09-15T07:02:00+00:00
ces-main,165569.01,2025-09-15T07:02:30+00:00
ces-main,159581.68,2025-09-15T07:03:00+00:00
ces-main,160534.09,2025-09-15T07:03:30+00:00
ces-main,178797.21,2025-09-15T07:04:00+00:00
ces-main,182083.44,2025-09-15T07:04:30+00:00
ces-main,172653.88,2025-09-15T07:05:00+00:00
ces-main,183358.48,2025-09-15T07:05:30+00:00
ces-main,162438.77,2025-09-15T07:06:00+00:00
ces-main,164969.72,2025-09-15T07:06:30+00:00
ces-main,164763.96,2025-09-15T07:07:00+00:00
ces-main,164309.45,2025-09-15T07:07:30+00:00
ces-main,177202.38,2025-09-15T07:08:00+00:00
ces-main,178677.81,2025-09-15T07:08:30+00:00
ces-main,167113.53,2025-09-15T07:09:00+00:00
ces-main,166973.25,2025-09-15T07:09:30+00:00
ces-main,166912.20,2025-09-15T07:10:00+00:00
ces-main,183666.99,2025-09-15T07:10:30+00:00
ces-main,179914.93,2025-09-15T07:11:00+00:00
ces-main,176591.33,2025-09-15T07:11:30+00:00
ces-main,172084.70,2025-09-15T07:12:00+00:00
ces-main,175794.13,2025-09-15T07:12:30+00:00
ces-main,167437.53,2025-09-15T07:13:00+00:00
ces-main,169109.55,2025-09-15T07:13:30+00:00
ces-main,163560.93,2025-09-15T07:14:00+00:00
ces-main,181471.02,2025-09-15T07:14:30+00:00
ces-main,181113.50,2025-09-15T07:15:00+00:00
ces-main,175840.93,2025-09-15T07:15:30+00:00
ces-main,167386.32,2025-09-15T07:16:00+00:00
ces-main,165763.42,2025-09-15T07:16:30+00:00
ces-main,159009.83,2025-09-15T07:17:00+00:00
ces-main,171345.68,2025-09-15T07:17:30+00:00
ces-main,177979.46,2025-09-15T07:18:00+00:00
ces-main,178694.82,2025-09-15T07:18:30+00:00
ces-main,175019.28,2025-09-15T07:19:00+00:00
ces-main,165993.25,2025-09-15T07:19:30+00:00
ces-main,181415.81,2025-09-15T07:20:00+00:00
ces-main,179209.32,2025-09-15T07:20:30+00:00
ces-main,170258.43,2025-09-15T07:21:00+00:00
ces-main,164195.07,2025-09-15T07:21:30+00:00
ces-main,168219.04,2025-09-15T07:22:00+00:00
ces-main,167886.22,2025-09-15T07:22:30+00:00
ces-main,163499.87,2025-09-15T07:23:00+00:00
ces-main,169737.70,2025-09-15T07:23:30+00:00
ces-main,162284.88,2025-09-15T07:24:00+00:00
ces-main,172428.68,2025-09-15T07:24:30+00:00
ces-main,166560.74,2025-09-15T07:25:00+00:00
ces-main,183651.32,2025-09-15T07:25:30+00:00
ces-main,158635.09,2025-09-15T07:26:00+00:00
ces-main,165691.55,2025-09-15T07:26:30+00:00
ces-main,166723.90,2025-09-15T07:27:00+00:00
ces-main,169973.71,2025-09-15T07:27:30+00:00
ces-main,165484.64,2025-09-15T07:28:00+00:00
ces-main,159428.17,2025-09-15T07:28:30+00:00
ces-main,149621.03,2025-09-15T07:29:00+00:00
ces-main,163063.67,2025-09-15T07:29:30+00:00
ces-main,181650.38,2025-09-15T07:30:00+00:00
ces-main,170979.09,2025-09-15T07:30:30+00:00
ces-main,159359.70,2025-09-15T07:31:00+00:00
ces-main,163520.14,2025-09-15T07:31:30+00:00
ces-main,171492.88,2025-09-15T07:32:00+00:00
ces-main,178755.95,2025-09-15T07:32:30+00:00
ces-main,171766.60,2025-09-15T07:33:00+00:00
ces-main,163121.94,2025-09-15T07:33:30+00:00
ces-main,179433.23,2025-09-15T07:34:00+00:00
ces-main,299901.47,2025-09-15T07:34:30+00:00
ces-main,308888.19,2025-09-15T07:35:00+00:00
ces-main,281712.78,2025-09-15T07:35:30+00:00
ces-main,166732.02,2025-09-15T07:36:00+00:00
ces-main,170036.52,2025-09-15T07:36:30+00:00
ces-main,167819.17,2025-09-15T07:37:00+00:00
ces-main,162352.73,2025-09-15T07:37:30+00:00
ces-main,162960.82,2025-09-15T07:38:00+00:00
ces-main,163374.65,2025-09-15T07:38:30+00:00
ces-main,174540.98,2025-09-15T07:39:00+00:00
ces-main,178938.03,2025-09-15T07:39:30+00:00
