label,value,time
ces-main,78.44,2025-08-18T14:44:30+00:00
ces-main,69.14,2025-08-18T14:45:00+00:00
ces-main,61.69,2025-08-18T14:45:30+00:00
ces-main,56.49,2025-08-18T14:46:00+00:00
ces-main,48.08,2025-08-18T14:46:30+00:00
ces-main,38.94,2025-08-18T14:47:00+00:00
ces-main,29.66,2025-08-18T14:47:30+00:00
ces-main,15.54,2025-08-18T14:48:00+00:00
ces-main,14.72,2025-08-18T14:48:30+00:00
ces-main,14.39,2025-08-18T14:49:00+00:00
ces-main,14.38,2025-08-18T14:49:30+00:00
ces-main,12.97,2025-08-18T14:50:00+00:00
ces-main,9.59,2025-08-18T14:50:30+00:00
ces-main,8.68,2025-08-18T14:51:00+00:00
ces-main,8.89,2025-08-18T14:51:30+00:00
ces-main,9.59,2025-08-18T14:52:00+00:00
ces-main,9.85,2025-08-18T14:52:30+00:00
ces-worker-0,83.07,2025-08-18T14:44:30+00:00
ces-worker-0,82.42,2025-08-18T14:45:00+00:00
ces-worker-0,81.28,2025-08-18T14:45:30+00:00
ces-worker-0,72.52,2025-08-18T14:46:00+00:00
ces-worker-0,62.79,2025-08-18T14:46:30+00:00
ces-worker-0,53.04,2025-08-18T14:47:00+00:00
ces-worker-0,43.46,2025-08-18T14:47:30+00:00
ces-worker-0,33.89,2025-08-18T14:48:00+00:00
ces-worker-0,23.06,2025-08-18T14:48:30+00:00
ces-worker-0,22.95,2025-08-18T14:49:00+00:00
ces-worker-0,16.13,2025-08-18T14:49:30+00:00
ces-worker-0,8.25,2025-08-18T14:50:00+00:00
ces-worker-0,6.91,2025-08-18T14:50:30+00:00
ces-worker-0,7.01,2025-08-18T14:51:00+00:00
ces-worker-0,7.22,2025-08-18T14:51:30+00:00
ces-worker-0,7.25,2025-08-18T14:52:00+00:00
ces-worker-0,7.46,2025-08-18T14:52:30+00:00
