label,value,time
ces-main,3567890432.00,2025-09-15T06:24:30+00:00
ces-main,3400636416.00,2025-09-15T06:25:00+00:00
ces-main,3349606400.00,2025-09-15T06:25:30+00:00
ces-main,3321286656.00,2025-09-15T06:26:00+00:00
ces-main,3294034329.60,2025-09-15T06:26:30+00:00
ces-main,3274756096.00,2025-09-15T06:27:00+00:00
ces-main,3257651785.14,2025-09-15T06:27:30+00:00
ces-main,3246982144.00,2025-09-15T06:28:00+00:00
ces-main,3238701283.56,2025-09-15T06:28:30+00:00
ces-main,3231111987.20,2025-09-15T06:29:00+00:00
ces-main,3187539781.82,2025-09-15T06:29:30+00:00
ces-main,3179334929.07,2025-09-15T06:30:00+00:00
ces-main,3169206870.65,2025-09-15T06:30:30+00:00
ces-main,3160452944.46,2025-09-15T06:31:00+00:00
ces-main,3157675076.27,2025-09-15T06:31:30+00:00
ces-main,3155856588.80,2025-09-15T06:32:00+00:00
ces-main,3156551969.13,2025-09-15T06:32:30+00:00
ces-main,3153108582.40,2025-09-15T06:33:00+00:00
ces-main,3148420430.15,2025-09-15T06:33:30+00:00
ces-main,3155134054.40,2025-09-15T06:34:00+00:00
ces-main,3165891174.40,2025-09-15T06:34:30+00:00
ces-main,3172555366.40,2025-09-15T06:35:00+00:00
ces-main,3179059200.00,2025-09-15T06:35:30+00:00
ces-main,3181115596.80,2025-09-15T06:36:00+00:00
ces-main,3183389696.00,2025-09-15T06:36:30+00:00
ces-main,3185890918.40,2025-09-15T06:37:00+00:00
ces-main,3187796172.80,2025-09-15T06:37:30+00:00
ces-main,3192134041.60,2025-09-15T06:38:00+00:00
ces-main,3199223398.40,2025-09-15T06:38:30+00:00
ces-main,3195919564.80,2025-09-15T06:39:00+00:00
ces-main,3190581452.80,2025-09-15T06:39:30+00:00
ces-main,3188114636.80,2025-09-15T06:40:00+00:00
ces-main,3185642905.60,2025-09-15T06:40:30+00:00
ces-main,3186387558.40,2025-09-15T06:41:00+00:00
ces-main,3180425420.80,2025-09-15T06:41:30+00:00
ces-main,3175260774.40,2025-09-15T06:42:00+00:00
ces-main,3171042099.20,2025-09-15T06:42:30+00:00
ces-main,3166249984.00,2025-09-15T06:43:00+00:00
ces-main,3160953856.00,2025-09-15T06:43:30+00:00
ces-main,3156422656.00,2025-09-15T06:44:00+00:00
ces-main,3153370521.60,2025-09-15T06:44:30+00:00
ces-main,3150464819.20,2025-09-15T06:45:00+00:00
ces-main,3146597580.80,2025-09-15T06:45:30+00:00
ces-main,3142748364.80,2025-09-15T06:46:00+00:00
ces-main,3144616550.40,2025-09-15T06:46:30+00:00
ces-main,3146438246.40,2025-09-15T06:47:00+00:00
ces-main,3147364352.00,2025-09-15T06:47:30+00:00
ces-main,3151382118.40,2025-09-15T06:48:00+00:00
ces-main,3154111488.00,2025-09-15T06:48:30+00:00
ces-main,3156199014.40,2025-09-15T06:49:00+00:00
ces-main,3155396608.00,2025-09-15T06:49:30+00:00
ces-main,3155637657.60,2025-09-15T06:50:00+00:00
ces-main,3157824307.20,2025-09-15T06:50:30+00:00
ces-main,3160440012.80,2025-09-15T06:51:00+00:00
ces-main,3158351462.40,2025-09-15T06:51:30+00:00
ces-main,3154063769.60,2025-09-15T06:52:00+00:00
ces-main,3151096217.60,2025-09-15T06:52:30+00:00
ces-main,3148194816.00,2025-09-15T06:53:00+00:00
ces-main,3146396057.60,2025-09-15T06:53:30+00:00
ces-main,3143897292.80,2025-09-15T06:54:00+00:00
ces-main,3142768025.60,2025-09-15T06:54:30+00:00
ces-main,3139760128.00,2025-09-15T06:55:00+00:00
ces-main,3138638028.80,2025-09-15T06:55:30+00:00
ces-main,3136850944.00,2025-09-15T06:56:00+00:00
ces-main,3134029209.60,2025-09-15T06:56:30+00:00
ces-main,3136778444.80,2025-09-15T06:57:00+00:00
ces-main,3137529446.40,2025-09-15T06:57:30+00:00
ces-main,3138659737.60,2025-09-15T06:58:00+00:00
ces-main,3139307110.40,2025-09-15T06:58:30+00:00
ces-main,3140871987.20,2025-09-15T06:59:00+00:00
ces-main,3142857728.00,2025-09-15T06:59:30+00:00
ces-main,3144921907.20,2025-09-15T07:00:00+00:00
ces-main,3144415232.00,2025-09-15T07:00:30+00:00
ces-main,3143525376.00,2025-09-15T07:01:00+00:00
ces-main,3147440742.40,2025-09-15T07:01:30+00:00
ces-main,3144387993.60,2025-09-15T07:02:00+00:00
ces-main,3141386444.80,2025-09-15T07:02:30+00:00
ces-main,3135932211.20,2025-09-15T07:03:00+00:00
ces-main,3128774041.60,2025-09-15T07:03:30+00:00
ces-main,3122325504.00,2025-09-15T07:04:00+00:00
ces-main,3115964825.60,2025-09-15T07:04:30+00:00
ces-main,3109832294.40,2025-09-15T07:05:00+00:00
ces-main,3104287744.00,2025-09-15T07:05:30+00:00
ces-main,3099705958.40,2025-09-15T07:06:00+00:00
ces-main,3094328934.40,2025-09-15T07:06:30+00:00
ces-main,3097366732.80,2025-09-15T07:07:00+00:00
ces-main,3102373478.40,2025-09-15T07:07:30+00:00
ces-main,3106385510.40,2025-09-15T07:08:00+00:00
ces-main,3111943987.20,2025-09-15T07:08:30+00:00
ces-main,3115957862.40,2025-09-15T07:09:00+00:00
ces-main,3119896576.00,2025-09-15T07:09:30+00:00
ces-main,3124127744.00,2025-09-15T07:10:00+00:00
ces-main,3127436288.00,2025-09-15T07:10:30+00:00
ces-main,3116708864.00,2025-09-15T07:11:00+00:00
ces-main,3102453555.20,2025-09-15T07:11:30+00:00
ces-main,3084345344.00,2025-09-15T07:12:00+00:00
ces-main,3065981132.80,2025-09-15T07:12:30+00:00
ces-main,3047963033.60,2025-09-15T07:13:00+00:00
ces-main,3030276505.60,2025-09-15T07:13:30+00:00
ces-main,3012787404.80,2025-09-15T07:14:00+00:00
ces-main,2994249932.80,2025-09-15T07:14:30+00:00
ces-main,2974886502.40,2025-09-15T07:15:00+00:00
ces-main,2958194483.20,2025-09-15T07:15:30+00:00
ces-main,2970451558.40,2025-09-15T07:16:00+00:00
ces-main,2985523814.40,2025-09-15T07:16:30+00:00
ces-main,3002259046.40,2025-09-15T07:17:00+00:00
ces-main,3019592089.60,2025-09-15T07:17:30+00:00
ces-main,3037002342.40,2025-09-15T07:18:00+00:00
ces-main,3052615884.80,2025-09-15T07:18:30+00:00
