label,value,time
ces-main,4379471872.00,2025-08-18T14:44:00+00:00
ces-main,4360470528.00,2025-08-18T14:44:30+00:00
ces-main,4347037013.33,2025-08-18T14:45:00+00:00
ces-main,4328949760.00,2025-08-18T14:45:30+00:00
ces-main,4315539865.60,2025-08-18T14:46:00+00:00
ces-main,4281539925.33,2025-08-18T14:46:30+00:00
ces-main,4256973970.29,2025-08-18T14:47:00+00:00
ces-main,4236120576.00,2025-08-18T14:47:30+00:00
ces-main,4220640369.78,2025-08-18T14:48:00+00:00
ces-main,4206723891.20,2025-08-18T14:48:30+00:00
ces-main,4182706138.76,2025-08-18T14:49:00+00:00
ces-main,4158106828.80,2025-08-18T14:49:30+00:00
ces-main,4135784889.11,2025-08-18T14:50:00+00:00
ces-main,4117073861.49,2025-08-18T14:50:30+00:00
ces-main,4098038306.13,2025-08-18T14:51:00+00:00
ces-main,4096110643.20,2025-08-18T14:51:30+00:00
ces-main,4081356775.91,2025-08-18T14:52:00+00:00
ces-main,4066530417.78,2025-08-18T14:52:30+00:00
ces-worker-0,5125484544.00,2025-08-18T14:44:00+00:00
ces-worker-0,5117642752.00,2025-08-18T14:44:30+00:00
ces-worker-0,4932655786.67,2025-08-18T14:45:00+00:00
ces-worker-0,4798679040.00,2025-08-18T14:45:30+00:00
ces-worker-0,4727985766.40,2025-08-18T14:46:00+00:00
ces-worker-0,4681079466.67,2025-08-18T14:46:30+00:00
ces-worker-0,4647377188.57,2025-08-18T14:47:00+00:00
ces-worker-0,4621947904.00,2025-08-18T14:47:30+00:00
ces-worker-0,4604257621.33,2025-08-18T14:48:00+00:00
ces-worker-0,4587835392.00,2025-08-18T14:48:30+00:00
ces-worker-0,4500965450.47,2025-08-18T14:49:00+00:00
ces-worker-0,4417921228.80,2025-08-18T14:49:30+00:00
ces-worker-0,4404906047.02,2025-08-18T14:50:00+00:00
ces-worker-0,4411200073.14,2025-08-18T14:50:30+00:00
ces-worker-0,4416398950.40,2025-08-18T14:51:00+00:00
ces-worker-0,4421126092.80,2025-08-18T14:51:30+00:00
ces-worker-0,4427451331.76,2025-08-18T14:52:00+00:00
ces-worker-0,4432263304.53,2025-08-18T14:52:30+00:00
