label,value,time
ces-main,42.58,2025-09-15T06:24:30+00:00
ces-main,45.27,2025-09-15T06:25:00+00:00
ces-main,46.09,2025-09-15T06:25:30+00:00
ces-main,46.54,2025-09-15T06:26:00+00:00
ces-main,46.98,2025-09-15T06:26:30+00:00
ces-main,47.29,2025-09-15T06:27:00+00:00
ces-main,47.57,2025-09-15T06:27:30+00:00
ces-main,47.74,2025-09-15T06:28:00+00:00
ces-main,47.87,2025-09-15T06:28:30+00:00
ces-main,48.00,2025-09-15T06:29:00+00:00
ces-main,48.70,2025-09-15T06:29:30+00:00
ces-main,48.83,2025-09-15T06:30:00+00:00
ces-main,48.99,2025-09-15T06:30:30+00:00
ces-main,49.13,2025-09-15T06:31:00+00:00
ces-main,49.18,2025-09-15T06:31:30+00:00
ces-main,49.21,2025-09-15T06:32:00+00:00
ces-main,49.20,2025-09-15T06:32:30+00:00
ces-main,49.25,2025-09-15T06:33:00+00:00
ces-main,49.33,2025-09-15T06:33:30+00:00
ces-main,49.22,2025-09-15T06:34:00+00:00
ces-main,49.05,2025-09-15T06:34:30+00:00
ces-main,48.94,2025-09-15T06:35:00+00:00
ces-main,48.83,2025-09-15T06:35:30+00:00
ces-main,48.80,2025-09-15T06:36:00+00:00
ces-main,48.76,2025-09-15T06:36:30+00:00
ces-main,48.72,2025-09-15T06:37:00+00:00
ces-main,48.69,2025-09-15T06:37:30+00:00
ces-main,48.62,2025-09-15T06:38:00+00:00
ces-main,48.51,2025-09-15T06:38:30+00:00
ces-main,48.56,2025-09-15T06:39:00+00:00
ces-main,48.65,2025-09-15T06:39:30+00:00
ces-main,48.69,2025-09-15T06:40:00+00:00
ces-main,48.73,2025-09-15T06:40:30+00:00
ces-main,48.72,2025-09-15T06:41:00+00:00
ces-main,48.81,2025-09-15T06:41:30+00:00
ces-main,48.90,2025-09-15T06:42:00+00:00
ces-main,48.96,2025-09-15T06:42:30+00:00
ces-main,49.04,2025-09-15T06:43:00+00:00
ces-main,49.13,2025-09-15T06:43:30+00:00
ces-main,49.20,2025-09-15T06:44:00+00:00
ces-main,49.25,2025-09-15T06:44:30+00:00
ces-main,49.29,2025-09-15T06:45:00+00:00
ces-main,49.36,2025-09-15T06:45:30+00:00
ces-main,49.42,2025-09-15T06:46:00+00:00
ces-main,49.39,2025-09-15T06:46:30+00:00
