label,value,time
ces-main,26.72,2025-09-15T06:24:30+00:00
ces-main,26.72,2025-09-15T06:25:00+00:00
ces-main,26.72,2025-09-15T06:25:30+00:00
ces-main,26.72,2025-09-15T06:26:00+00:00
ces-main,26.72,2025-09-15T06:26:30+00:00
ces-main,26.72,2025-09-15T06:27:00+00:00
ces-main,26.72,2025-09-15T06:27:30+00:00
ces-main,26.72,2025-09-15T06:28:00+00:00
ces-main,26.72,2025-09-15T06:28:30+00:00
ces-main,26.72,2025-09-15T06:29:00+00:00
ces-main,26.72,2025-09-15T06:29:30+00:00
ces-main,26.72,2025-09-15T06:30:00+00:00
ces-main,26.72,2025-09-15T06:30:30+00:00
ces-main,26.72,2025-09-15T06:31:00+00:00
ces-main,26.72,2025-09-15T06:31:30+00:00
ces-main,26.72,2025-09-15T06:32:00+00:00
ces-main,26.72,2025-09-15T06:32:30+00:00
ces-main,26.72,2025-09-15T06:33:00+00:00
ces-main,26.72,2025-09-15T06:33:30+00:00
ces-main,26.72,2025-09-15T06:34:00+00:00
ces-main,26.72,2025-09-15T06:34:30+00:00
ces-main,26.72,2025-09-15T06:35:00+00:00
ces-main,26.72,2025-09-15T06:35:30+00:00
ces-main,26.72,2025-09-15T06:36:00+00:00
ces-main,26.72,2025-09-15T06:36:30+00:00
ces-main,26.72,2025-09-15T06:37:00+00:00
ces-main,26.72,2025-09-15T06:37:30+00:00
ces-main,26.72,2025-09-15T06:38:00+00:00
ces-main,26.72,2025-09-15T06:38:30+00:00
ces-main,26.72,2025-09-15T06:39:00+00:00
ces-main,26.72,2025-09-15T06:39:30+00:00
ces-main,26.72,2025-09-15T06:40:00+00:00
ces-main,26.72,2025-09-15T06:40:30+00:00
ces-main,26.72,2025-09-15T06:41:00+00:00
ces-main,26.72,2025-09-15T06:41:30+00:00
ces-main,26.72,2025-09-15T06:42:00+00:00
ces-main,26.72,2025-09-15T06:42:30+00:00
ces-main,26.72,2025-09-15T06:43:00+00:00
ces-main,26.72,2025-09-15T06:43:30+00:00
ces-main,26.72,2025-09-15T06:44:00+00:00
ces-main,26.72,2025-09-15T06:44:30+00:00
ces-main,26.72,2025-09-15T06:45:00+00:00
ces-main,26.72,2025-09-15T06:45:30+00:00
ces-main,26.72,2025-09-15T06:46:00+00:00
ces-main,26.72,2025-09-15T06:46:30+00:00
ces-main,26.72,2025-09-15T06:47:00+00:00
ces-main,26.72,2025-09-15T06:47:30+00:00
ces-main,26.72,2025-09-15T06:48:00+00:00
ces-main,26.72,2025-09-15T06:48:30+00:00
ces-main,26.72,2025-09-15T06:49:00+00:00
ces-main,26.72,2025-09-15T06:49:30+00:00
ces-main,26.72,2025-09-15T06:50:00+00:00
ces-main,26.72,2025-09-15T06:50:30+00:00
ces-main,26.72,2025-09-15T06:51:00+00:00
ces-main,26.72,2025-09-15T06:51:30+00:00
ces-main,26.72,2025-09-15T06:52:00+00:00
ces-main,26.72,2025-09-15T06:52:30+00:00
ces-main,26.72,2025-09-15T06:53:00+00:00
ces-main,26.72,2025-09-15T06:53:30+00:00
ces-main,26.72,2025-09-15T06:54:00+00:00
