label,value,time
ces-main,147817.43,2025-08-18T14:44:30+00:00
ces-main,191662.42,2025-08-18T14:45:00+00:00
ces-main,230949.40,2025-08-18T14:45:30+00:00
ces-main,187711.21,2025-08-18T14:46:00+00:00
ces-main,659507.72,2025-08-18T14:46:30+00:00
ces-main,733814.93,2025-08-18T14:47:00+00:00
ces-main,769718.53,2025-08-18T14:47:30+00:00
ces-main,279836.71,2025-08-18T14:48:00+00:00
ces-main,188254.24,2025-08-18T14:48:30+00:00
ces-main,185890.92,2025-08-18T14:49:00+00:00
ces-main,181723.17,2025-08-18T14:49:30+00:00
ces-main,188507.35,2025-08-18T14:50:00+00:00
ces-main,200143.94,2025-08-18T14:50:30+00:00
ces-main,209417.77,2025-08-18T14:51:00+00:00
ces-main,263567.26,2025-08-18T14:51:30+00:00
ces-main,743838.06,2025-08-18T14:52:00+00:00
ces-main,748167.06,2025-08-18T14:52:30+00:00
ces-worker-0,10346.27,2025-08-18T14:44:00+00:00
ces-worker-0,22877.33,2025-08-18T14:44:30+00:00
ces-worker-0,73149.19,2025-08-18T14:45:00+00:00
ces-worker-0,85918.39,2025-08-18T14:45:30+00:00
ces-worker-0,61473.99,2025-08-18T14:46:00+00:00
ces-worker-0,85131.31,2025-08-18T14:46:30+00:00
ces-worker-0,88845.08,2025-08-18T14:47:00+00:00
ces-worker-0,90487.18,2025-08-18T14:47:30+00:00
ces-worker-0,68361.25,2025-08-18T14:48:00+00:00
ces-worker-0,68860.06,2025-08-18T14:48:30+00:00
ces-worker-0,66758.95,2025-08-18T14:49:00+00:00
ces-worker-0,67671.22,2025-08-18T14:49:30+00:00
ces-worker-0,67291.34,2025-08-18T14:50:00+00:00
ces-worker-0,64189.58,2025-08-18T14:50:30+00:00
ces-worker-0,74614.20,2025-08-18T14:51:00+00:00
ces-worker-0,119692.43,2025-08-18T14:51:30+00:00
ces-worker-0,268942.04,2025-08-18T14:52:00+00:00
ces-worker-0,236748.25,2025-08-18T14:52:30+00:00
