label,value,time
ces-main,0.00,2025-08-18T14:44:00+00:00
ces-main,0.14,2025-08-18T14:44:30+00:00
ces-main,0.18,2025-08-18T14:45:00+00:00
ces-main,0.37,2025-08-18T14:45:30+00:00
ces-main,0.55,2025-08-18T14:46:00+00:00
ces-main,0.63,2025-08-18T14:46:30+00:00
ces-main,0.48,2025-08-18T14:47:00+00:00
ces-main,0.27,2025-08-18T14:47:30+00:00
ces-main,0.18,2025-08-18T14:48:00+00:00
ces-main,0.18,2025-08-18T14:48:30+00:00
ces-main,0.18,2025-08-18T14:49:00+00:00
ces-main,0.19,2025-08-18T14:49:30+00:00
ces-main,0.19,2025-08-18T14:50:00+00:00
ces-main,0.19,2025-08-18T14:50:30+00:00
ces-main,0.19,2025-08-18T14:51:00+00:00
ces-main,0.22,2025-08-18T14:51:30+00:00
ces-main,0.25,2025-08-18T14:52:00+00:00
ces-main,0.26,2025-08-18T14:52:30+00:00
ces-worker-0,0.00,2025-08-18T14:44:00+00:00
ces-worker-0,0.10,2025-08-18T14:44:30+00:00
ces-worker-0,0.94,2025-08-18T14:45:00+00:00
ces-worker-0,2.78,2025-08-18T14:45:30+00:00
ces-worker-0,3.27,2025-08-18T14:46:00+00:00
ces-worker-0,2.62,2025-08-18T14:46:30+00:00
ces-worker-0,0.67,2025-08-18T14:47:00+00:00
ces-worker-0,0.22,2025-08-18T14:47:30+00:00
ces-worker-0,0.21,2025-08-18T14:48:00+00:00
ces-worker-0,0.19,2025-08-18T14:48:30+00:00
ces-worker-0,0.19,2025-08-18T14:49:00+00:00
ces-worker-0,0.20,2025-08-18T14:49:30+00:00
ces-worker-0,0.21,2025-08-18T14:50:00+00:00
ces-worker-0,0.20,2025-08-18T14:50:30+00:00
ces-worker-0,0.21,2025-08-18T14:51:00+00:00
ces-worker-0,0.23,2025-08-18T14:51:30+00:00
ces-worker-0,0.22,2025-08-18T14:52:00+00:00
ces-worker-0,0.23,2025-08-18T14:52:30+00:00
