label,value,time
ces-main,29.51,2025-08-18T14:44:00+00:00
ces-main,29.82,2025-08-18T14:44:30+00:00
ces-main,30.04,2025-08-18T14:45:00+00:00
ces-main,30.33,2025-08-18T14:45:30+00:00
ces-main,30.54,2025-08-18T14:46:00+00:00
ces-main,31.09,2025-08-18T14:46:30+00:00
ces-main,31.49,2025-08-18T14:47:00+00:00
ces-main,31.82,2025-08-18T14:47:30+00:00
ces-main,32.07,2025-08-18T14:48:00+00:00
ces-main,32.29,2025-08-18T14:48:30+00:00
ces-main,32.68,2025-08-18T14:49:00+00:00
ces-main,33.08,2025-08-18T14:49:30+00:00
ces-main,33.44,2025-08-18T14:50:00+00:00
ces-main,33.74,2025-08-18T14:50:30+00:00
ces-main,34.04,2025-08-18T14:51:00+00:00
ces-main,34.07,2025-08-18T14:51:30+00:00
ces-main,34.31,2025-08-18T14:52:00+00:00
ces-main,34.55,2025-08-18T14:52:30+00:00
ces-worker-0,17.51,2025-08-18T14:44:00+00:00
ces-worker-0,17.63,2025-08-18T14:44:30+00:00
ces-worker-0,20.61,2025-08-18T14:45:00+00:00
ces-worker-0,22.77,2025-08-18T14:45:30+00:00
ces-worker-0,23.90,2025-08-18T14:46:00+00:00
ces-worker-0,24.66,2025-08-18T14:46:30+00:00
ces-worker-0,25.20,2025-08-18T14:47:00+00:00
ces-worker-0,25.61,2025-08-18T14:47:30+00:00
ces-worker-0,25.90,2025-08-18T14:48:00+00:00
ces-worker-0,26.16,2025-08-18T14:48:30+00:00
ces-worker-0,27.56,2025-08-18T14:49:00+00:00
ces-worker-0,28.89,2025-08-18T14:49:30+00:00
ces-worker-0,29.10,2025-08-18T14:50:00+00:00
ces-worker-0,29.00,2025-08-18T14:50:30+00:00
ces-worker-0,28.92,2025-08-18T14:51:00+00:00
ces-worker-0,28.84,2025-08-18T14:51:30+00:00
ces-worker-0,28.74,2025-08-18T14:52:00+00:00
ces-worker-0,28.66,2025-08-18T14:52:30+00:00
