label,value,time
ces-main,7668600832.00,2025-08-18T14:44:00+00:00
ces-main,7668600832.00,2025-08-18T14:44:30+00:00
ces-main,7668600832.00,2025-08-18T14:45:00+00:00
ces-main,7668600832.00,2025-08-18T14:45:30+00:00
ces-main,7668600832.00,2025-08-18T14:46:00+00:00
ces-main,7668600832.00,2025-08-18T14:46:30+00:00
ces-main,7668600832.00,2025-08-18T14:47:00+00:00
ces-main,7668600832.00,2025-08-18T14:47:30+00:00
ces-main,7668600832.00,2025-08-18T14:48:00+00:00
ces-main,7668600832.00,2025-08-18T14:48:30+00:00
ces-main,7668600832.00,2025-08-18T14:49:00+00:00
ces-main,7668600832.00,2025-08-18T14:49:30+00:00
ces-main,7668600832.00,2025-08-18T14:50:00+00:00
ces-main,7668600832.00,2025-08-18T14:50:30+00:00
ces-main,7668600832.00,2025-08-18T14:51:00+00:00
ces-main,7668584448.00,2025-08-18T14:51:30+00:00
ces-main,7668584448.00,2025-08-18T14:52:00+00:00
ces-main,7668584448.00,2025-08-18T14:52:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:44:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:44:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:45:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:45:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:46:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:46:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:47:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:47:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:48:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:48:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:49:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:49:30+00:00
ces-worker-0,7671537664.00,2025-08-18T14:50:00+00:00
ces-worker-0,7671537664.00,2025-08-18T14:50:30+00:00
ces-worker-0,7671578624.00,2025-08-18T14:51:00+00:00
ces-worker-0,7671578624.00,2025-08-18T14:51:30+00:00
ces-worker-0,7671578624.00,2025-08-18T14:52:00+00:00
ces-worker-0,7671578624.00,2025-08-18T14:52:30+00:00
